Year,Film,Director(s),Producer(s),Country,Won
2000(54th)[5][6],Gladiator,Ridley Scott,"David Franzoni, Branko Lustig, Douglas Wick",United States United Kingdom,TRUE
2000(54th)[5][6],Almost Famous,Cameron Crowe,"Ian Bryce, Cameron Crowe",United States,FALSE
2000(54th)[5][6],Billy Elliot,Stephen Daldry,"Greg Brenman, Jon Finn",United Kingdom,FALSE
2000(54th)[5][6],"Crouching Tiger, Hidden Dragon",Ang Lee,"Hsu Li-kong, Bill Kong, Ang Lee",TaiwanChina Hong Kong,FALSE
2000(54th)[5][6],Erin Brockovich,Steven Soderbergh,"Danny DeVito, Michael Shamberg, Stacey Sher",United States,FALSE
2001(55th)[7],The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Tim Sanders, Fran Walsh",New Zealand United States,TRUE
2001(55th)[7],Amélie,Jean-Pierre Jeunet,"Jean-Marc Deschamps, Claudie Ossard",France,FALSE
2001(55th)[7],A Beautiful Mind,Ron Howard,"Brian Grazer, Ron Howard",United States,FALSE
2001(55th)[7],Moulin Rouge!,Baz Luhrmann,"Fred Baron, Martin Brown, Baz Luhrmann",Australia United States,FALSE
2001(55th)[7],Shrek,"Andrew Adamson, Vicky Jenson","Jeffrey Katzenberg, Aron Warner, John H. Williams",United States,FALSE
2002(56th)[8],The Pianist,Roman Polanski,"Robert Benmussa, Roman Polanski, Alain Sarde",France Germany United KingdomPoland,TRUE
2002(56th)[8],Chicago,Rob Marshall,Martin Richards,United States,FALSE
2002(56th)[8],Gangs of New York,Martin Scorsese,"Alberto Grimaldi, Harvey Weinstein",,FALSE
2002(56th)[8],The Hours,Stephen Daldry,"Robert Fox, Scott Rudin",United States United Kingdom,FALSE
2002(56th)[8],The Lord of the Rings: The Two Towers,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh",New Zealand United States,FALSE
2003(57th)[9],The Lord of the Rings: The Return of the King,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh",New Zealand United States,TRUE
2003(57th)[9],Big Fish,Tim Burton,"Bruce Cohen, Dan Jinks, Richard D. Zanuck",United States,FALSE
2003(57th)[9],Cold Mountain,Anthony Minghella,"Albert Berger, William Horberg, Sydney Pollack, Ron Yerxa",United States United Kingdom,FALSE
2003(57th)[9],Lost in Translation,Sofia Coppola,"Sofia Coppola, Ross Katz",United States,FALSE
2003(57th)[9],Master and Commander: The Far Side of the World,Peter Weir,"Samuel Goldwyn Jr., Duncan Henderson, Peter Weir",,FALSE
2004(58th)[10],The Aviator,Martin Scorsese,"Sandy Climan, Charles Evans, Jr., Graham King, Michael Mann",United States,TRUE
2004(58th)[10],Eternal Sunshine of the Spotless Mind,Michel Gondry,"Anthony Bregman, Steve Golin",United States,FALSE
2004(58th)[10],Finding Neverland,Marc Forster,"Nellie Bellflower, Richard N. Gladstein",United Kingdom United States,FALSE
2004(58th)[10],The Motorcycle Diaries,Walter Salles,"Michael Nozik, Edgard Tenenbaum, Karen Tenkhoff",Argentina Brazil,FALSE
2004(58th)[10],Vera Drake,Mike Leigh,"Simon Channing-Williams, Alain Sarde",United Kingdom,FALSE
2005(59th)[11],Brokeback Mountain,Ang Lee,"Diana Ossana, James Schamus",United States,TRUE
2005(59th)[11],Capote,Bennett Miller,"Caroline Baron, Michael Ohoven, William Vince",United StatesCanada,FALSE
2005(59th)[11],The Constant Gardener,Fernando Meirelles,Simon Channing Williams,United Kingdom,FALSE
2005(59th)[11],Crash,Paul Haggis,"Don Cheadle, Cathy Schulman, Bob Yari",United States,FALSE
2005(59th)[11],"Good Night, and Good Luck.",George Clooney,Grant Heslov,,FALSE
2006(60th)[12],The Queen,Stephen Frears,"Tracey Seaward, Christine Langan, Andy Harries",United Kingdom,TRUE
2006(60th)[12],Babel,Alejandro González Iñárritu,"Alejandro González Iñárritu, Jon Kilik, Steve Golin",United StatesMexico,FALSE
2006(60th)[12],The Departed,Martin Scorsese,"Brad Pitt, Brad Grey, Graham King",United States,FALSE
2006(60th)[12],The Last King of Scotland,Kevin Macdonald,"Andrea Calderwood, Lisa Bryer, Charles Steel",United Kingdom,FALSE
2006(60th)[12],Little Miss Sunshine,"Jonathan Dayton, Valerie Faris","David T. Friendly, Peter Saraf, Marc Turtletaub",United States,FALSE
2007(61st)[13],Atonement,Joe Wright,"Tim Bevan, Eric Fellner, Paul Webster",United Kingdom,TRUE
2007(61st)[13],American Gangster,Ridley Scott,"Brian Grazer, Ridley Scott",United States,FALSE
2007(61st)[13],The Lives of Others,Florian Henckel von Donnersmarck,"Quirin Berg, Max Wiedemann",Germany,FALSE
2007(61st)[13],No Country for Old Men,Joel and Ethan Coen,"Joel and Ethan Coen, Scott Rudin",United States,FALSE
2007(61st)[13],There Will Be Blood,Paul Thomas Anderson,"JoAnne Sellar, Daniel Lupi",,FALSE
2008(62nd)[14],Slumdog Millionaire,Danny Boyle,Christian Colson,United Kingdom,TRUE
