"Year","Drama","Musical/Comedy","Drama Actor","Musical/Comedy Actor","Drama Actress","Musical/Comedy Actress","Director"
"1951–1952","A Place in the Sun","An American in Paris","Fredric March,Death of a Salesman","Danny Kaye,On the Riviera","Jane Wyman,The Blue Veil","June Allyson,Too Young to Kiss","Laslo Benedek,Death of a Salesman"
"1952–1953","The Greatest Show on Earth","With a Song in My Heart","Gary Cooper,High Noon","Donald O'Connor,Singin' in the Rain","Shirley Booth,Come Back, Little Sheba","Susan Hayward,With a Song in My Heart","Cecil B. DeMille,The Greatest Show on Earth"
"1953–1954","The Robe","No award","Spencer Tracy,The Actress","David Niven,The Moon Is Blue","Audrey Hepburn,Roman Holiday","Ethel Merman,Call Me Madam","Fred Zinnemann,From Here to Eternity"
"1954–1955","On the Waterfront","Carmen Jones","Marlon Brando,On the Waterfront","James Mason,A Star Is Born","Grace Kelly,The Country Girl","Judy Garland,A Star Is Born","Elia Kazan,On the Waterfront"
"1955–1956","East of Eden","Guys and Dolls","Ernest Borgnine,Marty","Tom Ewell,The Seven Year Itch","Anna Magnani,The Rose Tattoo","Jean Simmons,Guys and Dolls","Joshua Logan,Picnic"
"1956–1957","Around the World in 80 Days","The King and I","Kirk Douglas,Lust for Life","Cantinflas,Around the World in 80 Days","Ingrid Bergman,Anastasia","Deborah Kerr,The King and I","Elia Kazan,Baby Doll"
"1957–1958","The Bridge on the River Kwai","Les Girls","Alec Guinness,The Bridge on the River Kwai","Frank Sinatra,Pal Joey","Joanne Woodward,The Three Faces of Eve","Taina Elg,Les Girls andKay Kendall,Les Girls (TIE)","David Lean,The Bridge on the River Kwai"
"1958–1959","The Defiant Ones","GigiAuntie Mame","David Niven,Separate Tables","Danny Kaye,Me and the Colonel","Susan Hayward,I Want to Live!","Rosalind Russell,Auntie Mame","Vincente Minnelli,Gigi"
"1959–1960","Ben-Hur","Porgy and BessSome Like It Hot","Anthony Franciosa,Career","Jack Lemmon,Some Like It Hot","Elizabeth Taylor,Suddenly, Last Summer","Marilyn Monroe,Some Like It Hot","William Wyler,Ben-Hur"
"1960–1961","Spartacus","Song Without EndThe Apartment","Burt Lancaster,Elmer Gantry","Jack Lemmon,The Apartment","Greer Garson,Sunrise at Campobello","Shirley MacLaine,The Apartment","Jack Cardiff,Sons and Lovers"
"1961–1962","The Guns of Navarone","West Side StoryA Majority of One","Maximilian Schell,Judgment at Nuremberg","Glenn Ford,Pocketful of Miracles","Geraldine Page,Summer and Smoke","Rosalind Russell,A Majority of One","Stanley Kramer,Judgment at Nuremberg"
"1962–1963","Lawrence of Arabia","The Music ManThat Touch of Mink","Gregory Peck,To Kill a Mockingbird","Marcello Mastroianni,Divorce Italian Style","Geraldine Page,Sweet Bird of Youth","Rosalind Russell,Gypsy","David Lean,Lawrence of Arabia"
"1963–1964","The Cardinal","Tom Jones","Sidney Poitier,Lilies of the Field","Alberto Sordi,The Devil","Leslie Caron,The L-Shaped Room","Shirley MacLaine,Irma la Douce","Elia Kazan,America America"
"1964–1965","Becket","My Fair Lady","Peter O'Toole,Becket","Rex Harrison,My Fair Lady","Anne Bancroft,The Pumpkin Eater","Julie Andrews,Mary Poppins","George Cukor,My Fair Lady"
"1965–1966","Doctor Zhivago","The Sound of Music","Omar Sharif,Doctor Zhivago","Lee Marvin,Cat Ballou","Samantha Eggar,The Collector","Julie Andrews,The Sound of Music","David Lean,Doctor Zhivago"
"1966–1967","A Man for All Seasons","The Russians Are Coming, the Russians Are Coming","Paul Scofield,A Man for All Seasons","Alan Arkin,The Russians Are Coming, the Russians Are Coming","Anouk Aimée,A Man and a Woman","Lynn Redgrave,Georgy Girl","Fred Zinnemann,A Man for All Seasons"
"1967–1968","In the Heat of the Night","The Graduate","Rod Steiger,In the Heat of the Night","Richard Harris,Camelot","Edith Evans,The Whisperers","Anne Bancroft,The Graduate","Mike Nichols,The Graduate"
"1968–1969","The Lion in Winter","Oliver!","Peter O'Toole,The Lion in Winter","Ron Moody,Oliver!","Joanne Woodward,Rachel, Rachel","Barbra Streisand,Funny Girl","Paul Newman,Rachel, Rachel"
"1969–1970","Anne of the Thousand Days","The Secret of Santa Vittoria","John Wayne,True Grit","Peter O'Toole,Goodbye, Mr. Chips","Geneviève Bujold,Anne of the Thousand Days","Patty Duke,Me, Natalie","Charles Jarrott,Anne of the Thousand Days"
"1970–1971","Love Story","M*A*S*H","George C. Scott,Patton","Albert Finney,Scrooge","Ali MacGraw,Love Story","Carrie Snodgress,Diary of a Mad Housewife","Arthur Hiller,Love Story"
"1971–1972","The French Connection","Fiddler on the Roof","Gene Hackman,The French Connection","Chaim Topol,Fiddler on the Roof","Jane Fonda,Klute","Twiggy,The Boy Friend","William Friedkin,The French Connection"
"1972–1973","The Godfather","Cabaret","Marlon Brando,The Godfather","Jack Lemmon,Avanti!","Liv Ullmann,The Emigrants","Liza Minnelli,Cabaret","Francis Ford Coppola,The Godfather"
"1973–1974","The Exorcist","American Graffiti","Al Pacino,Serpico","George Segal,A Touch of Class","Marsha Mason,Cinderella Liberty","Glenda Jackson,A Touch of Class","William Friedkin,The Exorcist"
