Film,Year,Awards,Nominations,Won
CODA,2021,3,3,TRUE
Dune,2021,6,10,FALSE
The Eyes of Tammy Faye,2021,2,2,FALSE
No Time to Die,2021,1,3,FALSE
The Windshield Wiper,2021,1,1,FALSE
The Long Goodbye,2021,1,1,FALSE
The Queen of Basketball,2021,1,1,FALSE
Summer of Soul,2021,1,1,FALSE
Drive My Car,2021,1,4,FALSE
Encanto,2021,1,3,FALSE
West Side Story,2021,1,7,FALSE
Belfast,2021,1,7,FALSE
The Power of the Dog,2021,1,12,FALSE
King Richard,2021,1,6,FALSE
Cruella,2021,1,2,FALSE
Nomadland,2020,3,6,TRUE
The Father,2020,2,6,FALSE
Judas and the Black Messiah,2020,2,6,FALSE
Minari,2020,1,6,FALSE
Mank,2020,2,10,FALSE
Sound of Metal,2020,2,6,FALSE
Ma Rainey's Black Bottom,2020,2,5,FALSE
Promising Young Woman,2020,1,5,FALSE
Tenet,2020,1,2,FALSE
Soul,2020,2,3,FALSE
Another Round,2020,1,2,FALSE
My Octopus Teacher,2020,1,1,FALSE
Colette,2020,1,1,FALSE
If Anything Happens I Love You,2020,1,1,FALSE
Two Distant Strangers,2020,1,1,FALSE
Parasite,2019,4,6,TRUE
Ford v Ferrari,2019,2,4,FALSE
Learning to Skateboard in a Warzone (If You're a Girl),2019,1,1,FALSE
The Neighbors' Window,2019,1,1,FALSE
Little Women,2019,1,6,FALSE
Marriage Story,2019,1,6,FALSE
Jojo Rabbit,2019,1,6,FALSE
Toy Story 4,2019,1,2,FALSE
Joker,2019,2,11,FALSE
Once Upon a Time in Hollywood,2019,2,10,FALSE
1917,2019,3,10,FALSE
Judy,2019,1,2,FALSE
Bombshell,2019,1,3,FALSE
Rocketman,2019,1,1,FALSE
American Factory,2019,1,1,FALSE
Hair Love,2019,1,1,FALSE
Green Book,2018,3,5,TRUE
Bohemian Rhapsody,2018,4,5,FALSE
Roma,2018,3,10,FALSE
Black Panther,2018,3,7,FALSE
The Favourite,2018,1,10,FALSE
A Star Is Born,2018,1,8,FALSE
Vice,2018,1,8,FALSE
BlacKkKlansman,2018,1,6,FALSE
First Man,2018,1,4,FALSE
If Beale Street Could Talk,2018,1,3,FALSE
Bao,2018,1,1,FALSE
Free Solo,2018,1,1,FALSE
Period. End of Sentence.,2018,1,1,FALSE
