Year,Film,Original title,Director(s),Country of origin
1939,Union Pacific,,Cecil B. DeMille,United States[15]
1946,Brief Encounter,,David Lean,United Kingdom[17]
1946,The Last Chance,Die Letzte Chance,Leopold Lindtberg,Switzerland
1946,The Lost Weekend,,Billy Wilder,United States[18]
1946,María Candelaria,,Emilio Fernández,Mexico[19]
1946,Men Without Wings,Muži bez křídel,František Čáp,Czechoslovakia[20]
1946,Neecha Nagar,,Chetan Anand,India[21]
1946,Pastoral Symphony,La symphonie pastorale,Jean Delannoy,France[22]
1946,The Red Meadows,De røde enge,"Bodil Ipsen & Lau Lauritzen, Jr.",Denmark[23]
1946,"Rome, Open City","Roma, città aperta",Roberto Rossellini,Italy[24]
1946,Torment,Hets,Alf Sjöberg,Sweden[25]
1946,The Turning Point,Великий перелом,Fridrikh Ermler,Soviet Union[26]
1947,Antoine and Antoinette (Best Psychological & Love Film),Antoine et Antoinette,Jacques Becker,France[27]
1947,Crossfire (Best Social Film),,Edward Dmytryk,United States[28]
1947,The Damned (Best Adventure & Crime Film),Les Maudits,René Clément,France[29]
1947,Dumbo (Best Animation Design),,Ben Sharpsteen,United States[30]
1947,Ziegfeld Follies (Best Musical Comedy),,Vincente Minnelli,United States[31]
1949,The Third Man,,Carol Reed,United Kingdom[33]
1951,Miracle in Milan ,Miracolo a Milano,Vittorio De Sica,Italy[34]
1951,Miss Julie ,Fröken Julie,Alf Sjöberg,Sweden[35]
1952,Othello ,,Orson Welles,Morocco[36]
1952,Two Cents Worth of Hope ,Due soldi di speranza,Renato Castellani,Italy[37]
1953,The Wages of Fear,Le salaire de la peur,Henri-Georges Clouzot,France[38]
1954,Gate of Hell,地獄門,Teinosuke Kinugasa,Japan[39]
1955,Marty ,,Delbert Mann,United States[40]
1956,The Silent World,Le monde du silence,Jacques Cousteau & Louis Malle,France[41]
1957,Friendly Persuasion,,William Wyler,United States[42]
1958,The Cranes Are Flying,Летят журавли,Mikhail Kalatozov,Soviet Union[43]
1959,Black Orpheus ,Orfeu Negro,Marcel Camus,France[44]
1960,La Dolce Vita ,,Federico Fellini,Italy[45]
1961,The Long Absence ,Une aussi longue absence,Henri Colpi,France[46]
1961,Viridiana ,,Luis Buñuel,Spain[47]
1962,O Pagador de Promessas ,,Anselmo Duarte,Brazil[48]
1963,The Leopard ,Il gattopardo,Luchino Visconti,Italy[49]
1964,The Umbrellas of Cherbourg,Les parapluies de Cherbourg,Jacques Demy,France[50]
1965,The Knack ...and How to Get It,,Richard Lester,United Kingdom[51]
1966,"The Birds, the Bees and the Italians ",Signore e signori,Pietro Germi,Italy[52]
1966,A Man and a Woman ,Un homme et une femme,Claude Lelouch,France[53]
1967,Blowup,,Michelangelo Antonioni,United Kingdom[54]
1969,If....,,Lindsay Anderson,United Kingdom[55]
1970,MASH,,Robert Altman,United States[56]
1971,The Go-Between,,Joseph Losey,United Kingdom[57]
1972,The Mattei Affair ,Il caso Mattei,Francesco Rosi,Italy[58]
1972,The Working Class Goes to Heaven ,La classe operaia va in paradiso,Elio Petri,Italy[59]
1973,The Hireling ,,Alan Bridges,United Kingdom[60]
1973,Scarecrow ,,Jerry Schatzberg,United States[61]
1974,The Conversation,,Francis Ford Coppola,United States[62]
1975,Chronicle of the Years of Fire,Chronique des années de braise,Mohammed Lakhdar-Hamina,Algeria[63]
1976,Taxi Driver,,Martin Scorsese,United States[64]
1977,Padre Padrone,,Paolo and Vittorio Taviani,Italy[65]
1978,The Tree of Wooden Clogs ,L'albero degli zoccoli,Ermanno Olmi,Italy[66]
1979,Apocalypse Now ,,Francis Ford Coppola,United States[67]
1979,The Tin Drum ,Die Blechtrommel,Volker Schlöndorff,West GermanyFrance[68]
1980,All That Jazz ,,Bob Fosse,United States[69]
1980,Kagemusha ,影武者,Akira Kurosawa,Japan[70]
1981,Man of Iron,Człowiek z żelaza,Andrzej Wajda,Poland[71]
1982,Missing ,,Costa-Gavras,United States[72]
1982,Yol ,,Yılmaz Güney & Şerif Gören,Turkey[73]
1983,The Ballad of Narayama,楢山節考,Shohei Imamura,Japan[74]
1984,"Paris, Texas ",,Wim Wenders,"West Germany, France[75]"
1985,When Father Was Away on Business ,Отац на службеном путу,Emir Kusturica,Yugoslavia
1986,The Mission,,Roland Joffé,United Kingdom[76]
1987,Under the Sun of Satan ,Sous le soleil de Satan,Maurice Pialat,France[77]
1988,Pelle the Conqueror,Pelle Erobreren,Bille August,Denmark[78]
1989,"Sex, Lies, and Videotape",,Steven Soderbergh,United States[79]
1990,Wild at Heart,,David Lynch,United States[80]
1991,Barton Fink ,,Joel Coen,United States[81]
1992,The Best Intentions,Den goda viljan,Bille August,"Denmark, Sweden[82]"
1993,Farewell My Concubine ,霸王別姬,Chen Kaige,Hong Kong[83]
1993,The Piano ,,Jane Campion,"New Zealand, Australia, France[84]"
1994,Pulp Fiction,,Quentin Tarantino,United States[85]
1995,Underground,Подземље,Emir Kusturica,France[86]
1996,Secrets & Lies,,Mike Leigh,"France, United Kingdom[87]"
1997,The Eel ,うなぎ,Shohei Imamura,Japan[88]
1997,Taste of Cherry ,طعم گيلاس,Abbas Kiarostami,Iran
1998,Eternity and a Day ,Μια αιωνιότητα και μια μέρα,Theo Angelopoulos,Greece[89]
1999,Rosetta ,,Jean-Pierre & Luc Dardenne,"Belgium, France[90]"
2000,Dancer in the Dark,,Lars von Trier,Denmark[91]
2001,The Son's Room,La stanza del figlio,Nanni Moretti,"Italy, France[92]"
2002,The Pianist,,Roman Polanski,"Poland, France, Germany, United Kingdom[93]"
2003,Elephant,,Gus Van Sant,United States[94]
2004,Fahrenheit 9/11,,Michael Moore,United States[95]
2005,L'Enfant,,Jean-Pierre & Luc Dardenne,"Belgium, France[96]"
2006,The Wind That Shakes the Barley ,,Ken Loach,"Ireland, United Kingdom, Italy, Germany, Spain[97]"
2007,"4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămâni și 2 zile",Cristian Mungiu,Romania[98]
2008,The Class ,Entre les murs,Laurent Cantet,France[99]
2009,The White Ribbon,"Das weiße Band, Eine deutsche Kindergeschichte",Michael Haneke,"Germany, Austria, France, Italy[100]"
2010,Uncle Boonmee Who Can Recall His Past Lives,ลุงบุญมีระลึกชาติ,Apichatpong Weerasethakul,"United Kingdom, Thailand, France, Germany, Spain[101]"
2011,The Tree of Life,,Terrence Malick,United States[102]
2012,Amour,,Michael Haneke,"France, Germany, Austria[103]"
2013,Blue Is the Warmest Colour ,La Vie d'Adèle: Chapitres 1 et 2,Abdellatif Kechiche,"France, Belgium, Spain[104]"
2014,Winter Sleep,Kış Uykusu,Nuri Bilge Ceylan,"Turkey, France, Germany[105]"
2015,Dheepan,,Jacques Audiard,France[106]
2016,"I, Daniel Blake",,Ken Loach,United Kingdom[107]
2017,The Square,,Ruben Östlund,"Sweden, Germany, France, Denmark[108]"
2018,Shoplifters,万引き家族,Hirokazu Kore-eda,Japan[109]
2019,Parasite ,기생충,Bong Joon-ho,South Korea[110]
2021,Titane,,Julia Ducournau,"France, Belgium[111]"
2022,Triangle of Sadness,,Ruben Östlund,Sweden[112]
